Код,Группа,Наименование,Срок,Стоимость услуги,Наименование лаборатории,Дата
160152,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f218, Перец красный (паприка), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160151,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f48, Лук, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160150,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f47, Чеснок, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160149,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f244, Огурец, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160148,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f25, Томат, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160147,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f225, Тыква, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160146,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f31, Морковь, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160145,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f216, Капуста кочанная, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160143,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f79, Клейковина (глютен), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160142,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f4, Пшеница, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160141,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f7, Овес, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160140,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f8, Кукуруза, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160139,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f203, Фисташки, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160138,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f202, Орех кешью, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160137,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f20, Миндаль, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160136,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f256, Грецкий орех, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160135,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f13, Арахис, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160134,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f14, Соя, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160133,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f9, Рис, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160132,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f6, Ячмень, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160131,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f11, Гречиха, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160129,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f24, Креветки, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160128,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f204, Форель, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160127,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f205, Сельдь, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160126,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f3, Рыба (треска), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160125,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f41, Лосось, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160118,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f236, Молочная сыворотка, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160117,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f300, Молоко козье, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160116,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f231, Молоко коровье кипяченое, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160115,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f2, Молоко коровье, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160112,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f284, Мясо индейки, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160111,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f83, Мясо курицы, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160110,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f88, Баранина, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160109,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f27, Говядина, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160108,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f26, Свинина, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160107,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f1, Яичный белок, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160106,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f75, Яичный желток, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160105,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f245, Яйцо куриное, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160103,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену p1, Аскарида, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160101,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену m228, Плесневый грибок Aspergillus flavus, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160099,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену m5, Дрожжеподобные грибы Candida albicans, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160097,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену m6, Плесневый грибок Alternaria alternata, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160096,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену m2, Плесневый грибок Cladosporium herbarum, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160095,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену m1, Плесневый грибок Penicillium notatum, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160093,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену i71, Комар, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160090,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену d74, Клещ домашней пыли Euroglyphus maynei, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160089,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену d3, Клещ домашней пыли Dermatophagoides microceras, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160088,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену d2, Клещ домашней пыли Dermatophagoides farinae, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160087,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену d1, Клещ домашней пыли Dermatophagoides pteronyssinus, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160086,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену h2, Пыль домашняя, тип Hollister-Stier, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160085,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену h1, Пыль домашняя, тип Greer, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160082,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену e84, Хомяк (эпителий), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160081,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену e5, Собака (перхоть), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160080,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену e1, Кошка (перхоть), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160078,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену e213, Попугай (перо), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160077,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену e81, Овца (эпителий), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160076,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену e85, Курица (перо), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160075,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену e70, Гусь (перо), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160072,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену t14, Тополь, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160071,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену t1, Клен ясенелистный, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160070,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену t3, Берёза, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160064,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену wx209, Амброзия, смесь, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160063,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w4, Амброзия ложная, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160062,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w1, Амброзия высокая, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160061,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w2, Амброзия обыкновенная (голомельчатая), ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160060,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w206, Ромашка, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160059,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w6, Полынь обыкновенная, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160058,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w5, Полынь горькая, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160057,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w8, Одуванчик, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160056,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w10, Марь белая, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160055,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w15, Лебеда чечевицеобразная, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160051,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g6, Тимофеевка луговая, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160050,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g12, Рожь посевная, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160049,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g14, Овес посевной, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160048,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g202, Кукуруза, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160047,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g4, Овсяница луговая, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160046,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g8, Мятлик луговой, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160045,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g3, Ежа сборная, ImmunoCAP®",3-12 к.д.,995 р.,CMD,27.11.2023
160043,Аллергология. ImmunoCAP®,"fx74, Рыба: треска (f3), сельдь (f205), скумбрия (f206), камбала (f254), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160042,Аллергология. ImmunoCAP®,"fx73, Мясо: свинина (f26), говядина (f27), курятина (f83), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160038,Аллергология. ImmunoCAP®,"fx26, Пищевые продукты: яичный белок (f1), молоко коровье (f2), арахис (f13), горчица (f89), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160037,Аллергология. ImmunoCAP®,"fx21, Фрукты: киви (f84), дыня (f87), банан (f92), персик (f95), ананас (f210), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160036,Аллергология. ImmunoCAP®,"fx20, Мука и крупы: пшеница (f4), рожь (f5), ячмень (f6), рис (f9), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160035,Аллергология. ImmunoCAP®,"fx15, Фрукты: апельсин (f33), яблоко (f49), банан (f92), персик (f95), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160034,Аллергология. ImmunoCAP®,"fx14, Овощи: помидор (f25), шпинат (f214), капуста (f216), паприка (f218), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160033,Аллергология. ImmunoCAP®,"fx13, Бобовые и овощи: горох (f12), белая фасоль (f15), морковь (f31), картофель (f35), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160032,Аллергология. ImmunoCAP®,"fx3, Мука и крупы: пшеница (f4), овес (f7), кукуруза (f8), кунжут (f10), гречиха (f11), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160031,Аллергология. ImmunoCAP®,"fx2, Рыба и морепродукты: треска (f3), креветки (f24), мидия синяя (f37), тунец (f40), лосось (f41), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160030,Аллергология. ImmunoCAP®,"fx1, Орехи: арахис (f13), фундук (f17), бразильский орех (f18), миндаль (f20), кокосовый орех (f36), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160029,Аллергология. ImmunoCAP®,"fx5, Детская пищевая панель №1: яичный белок (f1), молоко коровье (f2), треска (f3), пшеница (f4), арахис (f13), соя (f14), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160026,Аллергология. ImmunoCAP®,"hx2, Домашняя пыль: Hollister-Stier Labs (h2), Dermatophagoides pteronyssinus (d1), Dermatophagoides farinae (d2), таракан рыжий (i6), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160025,Аллергология. ImmunoCAP®,"mx2, Плесневые грибы: Penicillium notatum, Cladosporium herbarum, Aspergillus fumigatus, Candida albicans, Alternaria tenuis, Setomelanomma rostratа, Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160024,Аллергология. ImmunoCAP®,"mx1, Плесневые грибы: Penicillium notatum (m1), Cladosporium herbarum (m2), Aspergillus fumigatus (m3), Alternaria alternata (m6), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160022,Аллергология. ImmunoCAP®,"ex71, Постельное перо: гуся (e70), курицы (е85), утки (е86), индейки (е 89), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160021,Аллергология. ImmunoCAP®,"ex70, Эпителий животных: морская свинка (e6), кролик (e82), хомяк (e84), крыса (e87), мышь (e88), gE, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160020,Аллергология. ImmunoCAP®,"ex1, Перхоть животных: кошка (e1), лошадь (e3), корова (e4), собака (e5), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160019,Аллергология. ImmunoCAP®,"tx9, Пыльца деревьев: ольха серая (t2), береза (t3), лещина обыкновенная (t4), дуб белый (t7), ива белая (t12), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160018,Аллергология. ImmunoCAP®,"tx5, Пыльца деревьев: ольха серая (t2), лещина (t4), вяз (t8), ива (t12), тополь (t14), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160017,Аллергология. ImmunoCAP®,"wx7, Пыльца сорных трав: ромашка (w7), одуванчик (w8), подорожник (w9), марь (w10), золотарник (w12), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160016,Аллергология. ImmunoCAP®,"wx2, Пыльца сорных трав: амброзия голометельчатая (w2), полынь обыкновенная (w6), подорожник (w9), марь белая (w10), лебеда (w15), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160014,Аллергология. ImmunoCAP®,"gx4, Пыльца злаковых трав: колосок душистый (g1), плевел (g5), тростник (g7), рожь посевная (g12), бухарник шерстистый (g13), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160013,Аллергология. ImmunoCAP®,"gx2, Пыльца злаковых трав: свинорой пальчатый (g2), плевел (g5), тимофеевка луговая (g6), мятлик (g8), сорго (g10), гречка (g17), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160012,Аллергология. ImmunoCAP®,"gx1, Пыльца злаковых трав: ежа сборная (g3), овсяница луговая (g4), плевел (g5), тимофеевка луговая (g6), мятлик луговой (g8), Ig E, ImmunoCAP®",3-12 к.д.,1 590 р.,CMD,27.11.2023
160011,Аллергология. ImmunoCAP®,"Прогноз риска проведения вакцинации, Ig E, ImmunoCAP® (7 параметров)",3-14 к.д.,8 450 р.,CMD,27.11.2023
160010,Аллергология. ImmunoCAP®,"Экзема, Ig E, ImmunoCAP® (10 параметров)",3-14 к.д.,8 450 р.,CMD,27.11.2023
160009,Аллергология. ImmunoCAP®,"Астма/ринит дети, Ig E, ImmunoCAP® (8 параметров)",3-14 к.д.,8 450 р.,CMD,27.11.2023
160008,Аллергология. ImmunoCAP®,"Астма/ринит взрослые, Ig E, ImmunoCAP® (8 параметров)",3-14 к.д.,8 450 р.,CMD,27.11.2023
160200,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену Аллергочип ISAC (112 аллергокомпонентов), ImmunoCAP®",3-21 к.д.,34 290 р.,CMD,27.11.2023
